! Supplementary Material
! Trandat:Mechanism for 1-, 2-, and 3-pentanol
! Manuscript: 1-, 2-, and 3-pentanol combustion in laminar hydrogen flames - a comparative experimental and modeling study.
! Markus Köhler, Trupti Kathrotia, Patrick Oßwald, Marileen L. Fischer-Tammer, Kai Moshammer, Uwe Riedel

Ar                 0   136.500     3.330     0.000     0.000     0.000 !CHEMKIN-v4.1.1
He                 0    10.200     2.576     0.000     0.000     0.000 !CHEMKIN-v4.1.1
N2                 1    97.530     3.621     0.000     1.760     4.000 !CHEMKIN-v4.1.1
C3H6O-2-1          2   302.311     5.417     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 525.494K Pc=  53.513bar Vc= 204.500cm3/mol Tb= 356.780K	(Alcohol, CsH3R, CdR3, CdH2R)
C3H6O-1-2          2   304.276     5.450     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 535.055K Pc=  53.907bar Vc= 202.500cm3/mol Tb= 364.380K	(Alcohol, CsH3R, CdHR2, CdHR2)
C4H7J(182)         2   334.370     5.329     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 466.018K Pc=  43.397bar Vc= 239.500cm3/mol Tb= 295.080K	(CsH3R, CdHR2, CdHR2, CsH3R)
C5H11OJ-3-2        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsH2R2, CsHR3, CsH2R2, CsH3R, Alcohol)
C5H11OJ-1-1        2   291.799     6.252     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  40.364bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H11OJ-2-3        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H11OJ-3-3        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsH2R2, CsHR3, CsH2R2, CsH3R, Alcohol)
C5H11OJ-1-4        2   291.799     6.252     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  40.364bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C4H8O-1-1          2   332.713     5.642     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 512.502K Pc=  42.831bar Vc= 276.500cm3/mol Tb= 339.580K	(Aldehyde_Ccentered, CsH2R2, CsH2R2, CsH3R, Aldehyde_Ocentered)
C5H11OJ-2-2        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H11OJ-3-1        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsH2R2, CsHR3, CsH2R2, CsH3R, Alcohol)
C5H11OJ-2-1        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H11OJ-1-2        2   291.799     6.252     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  40.364bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H9J-1            2   341.879     5.678     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 489.897K Pc=  38.388bar Vc= 295.500cm3/mol Tb= 317.960K	(CsH3R, CdHR2, CdHR2, CsH2R2, CsH3R)
C3H5OJ-2-2         2   298.893     5.345     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 525.494K Pc=  56.110bar Vc= 204.500cm3/mol Tb= 356.780K	(CdH2R, CdR3, CsH3R, Alcohol)
C5H11OJ-1-3        2   291.799     6.252     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  40.364bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C4H8O-1-2          2   297.745     5.813     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.024K Pc=  46.403bar Vc= 259.500cm3/mol Tb= 379.780K	(Alcohol, CsH2R2, CsH2R2, CdHR2, CdH2R)
C5H11OJ-1-5        2   291.799     6.252     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 567.616K Pc=  40.364bar Vc= 334.500cm3/mol Tb= 405.980K	(CsH2R2, CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C3H5OJ-1-1         2   324.152     5.218     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 489.194K Pc=  51.020bar Vc= 220.500cm3/mol Tb= 316.700K	(CsH3R, CsH2R2, Aldehyde_Ccentered, Aldehyde_Ocentered)
C5H11OJ-2-4        2   300.371     6.211     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 570.757K Pc=  40.777bar Vc= 328.500cm3/mol Tb= 405.540K	(CsH3R, CsHR3, CsH2R2, CsH2R2, CsH3R, Alcohol)
C4H8O-2-3          2   314.789     5.796     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 560.784K Pc=  47.366bar Vc= 259.500cm3/mol Tb= 387.140K	(CsH3R, CdR3, CdHR2, CsH3R, Alcohol)
