IQJC3H6OH        2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
IQC3H6OT         2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
IQC3H5OHPJ       2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
IQC3H5OHPJC      2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
CY(CCOC)OH       2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CHOCOHCH3        2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
TQC3H5OHIO2      2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
TQC3H5OHIQ-I     2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
TQC3H5OHIQ-P     2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C2H3COHOOH       2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
COHOOHCY(COC)    2 5.022000E+02 5.356000E+00 1.800000E+00 0.000000E+00 1.000000E+00
OHCY(COCC)OOH    2 5.022000E+02 5.356000E+00 1.800000E+00 0.000000E+00 1.000000E+00
IQC3H5OHPJO2     2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
IQC3H5OTQ-I      2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
IQC3H5OHQ-SJ     2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CHOCOHCH2OOH     2 5.022000E+02 5.356000E+00 1.800000E+00 0.000000E+00 1.000000E+00
